date,means
2018-01-01,29.14847673441862
2018-02-01,39.55864699671098
2018-03-01,39.55864699671098
2018-04-01,14.57423836720931
2018-05-01,27.066442681960147
2018-06-01,12.492204314750838
2018-07-01,12.492204314750838
2018-08-01,20.820340524584733
2018-09-01,27.066442681960147
2018-10-01,33.312544839335565
2018-11-01,41.640681049169466
2018-12-01,12.492204314750838
2019-01-01,14.57423836720931
2019-02-01,14.57423836720931
2019-03-01,56.21491941637877
2019-04-01,24.984408629501676
2019-05-01,31.230510786877097
2019-06-01,27.066442681960147
2019-07-01,47.886783206544884
2019-08-01,14.57423836720931
2019-09-01,33.312544839335565
2019-10-01,20.820340524584733
2019-11-01,14.57423836720931
2019-12-01,20.820340524584733
2020-01-01,18.738306472126254
2020-02-01,33.312544839335565
2020-03-01,14.57423836720931
2020-04-01,24.984408629501676
2020-05-01,8.328136209833891
2020-06-01,16.656272419667783
2020-07-01,4.164068104916946
