,geoName,means
0,Abruzzo,11.290322580645162
1,Calabria,4.838709677419355
2,Campania,8.064516129032258
3,Emilia-Romagna,100.0
4,Friuli-Venezia Giulia,9.67741935483871
5,Lazio,53.225806451612904
6,Liguria,25.806451612903224
7,Lombardy,91.93548387096774
8,Marche,17.741935483870968
9,Molise,1.6129032258064515
10,Piedmont,50.0
11,Apulia,14.516129032258064
12,Sardinia,43.54838709677419
13,Sicily,11.290322580645162
14,Tuscany,50.0
15,Trentino-Alto Adige/South Tyrol,32.25806451612903
16,Umbria,14.516129032258064
17,Veneto,54.83870967741935
