,geoName,means
9,Abruzzo,59.47615266496326
29,Basilicata,92.35025225709715
49,Calabria,45.37864713627079
70,Campania,30.630354439641856
91,Emilia-Romagna,70.28558072311769
112,Friuli-Venezia Giulia,75.49541206276213
133,Lazio,51.758631110743394
154,Liguria,30.009181920502343
175,Lombardy,65.48160579636452
196,Marche,50.57065155387214
215,Molise,73.30656247738948
231,Piedmont,56.831337337607835
252,Apulia,48.53513632108869
273,Sardinia,100.0
294,Sicily,51.226346838748114
315,Tuscany,34.46772709231985
336,Trentino-Alto Adige/South Tyrol,16.919643389659065
357,Umbria,32.00089340202301
393,Veneto,79.04007074114008
