,geoName,means
11,Abruzzo,23.878752250778096
31,Basilicata,40.25523816335004
51,Calabria,55.63247605648583
72,Campania,31.927961428166263
93,Emilia-Romagna,33.052693562738604
114,Friuli-Venezia Giulia,31.900860931805557
135,Lazio,34.94573128923519
156,Liguria,37.54710083595616
177,Lombardy,31.347182941232404
198,Marche,20.469073247995865
233,Piedmont,33.000041940843786
254,Apulia,50.070008153465004
275,Sardinia,100.0
296,Sicily,69.1727007897811
317,Tuscany,37.079433566606404
338,Trentino-Alto Adige/South Tyrol,28.974114595844735
359,Umbria,34.872768450922514
395,Veneto,32.049641087641774
