,geoName,means
0,Abruzzo,42.74937534234241
21,Basilicata,29.674927226643348
40,Calabria,40.50425233464843
61,Campania,34.234638773762086
82,Emilia-Romagna,79.34384331429662
103,Friuli-Venezia Giulia,94.89048062221632
124,Lazio,60.862060304641695
145,Liguria,100.0
166,Lombardy,81.20764819428896
187,Marche,30.178346309431454
207,Molise,54.96309963099632
222,Piedmont,61.76073143811711
243,Apulia,33.96420020522176
264,Sardinia,69.93657812325952
285,Sicily,49.79919879719479
306,Tuscany,50.881139510004346
327,Trentino-Alto Adige/South Tyrol,67.3126727269567
348,Umbria,61.207465708204
368,Aosta,36.01789408635374
384,Veneto,54.733596020826425
