,geoName,means
1,Abruzzo,56.96949551087796
22,Basilicata,77.73255273527816
41,Calabria,93.33900272515443
62,Campania,48.97876048753573
83,Emilia-Romagna,65.2177531694964
104,Friuli-Venezia Giulia,95.86165676094312
125,Lazio,67.76790172184235
146,Liguria,100.0
167,Lombardy,69.63180578610502
188,Marche,65.73907977548036
208,Molise,83.38270487635344
223,Piedmont,55.11163251013239
244,Apulia,59.99094780694758
265,Sardinia,68.7823987665255
286,Sicily,47.75403006910269
307,Tuscany,68.60943117298795
328,Trentino-Alto Adige/South Tyrol,73.13208010362348
349,Umbria,59.79915233792674
369,Aosta,66.29842451293433
385,Veneto,69.24721589901716
