,geoName,means
20,Abruzzo,53.79647083813713
39,Basilicata,54.414645870778934
60,Calabria,35.27933368979111
81,Campania,37.05512886646196
102,Emilia-Romagna,72.45964246211784
123,Friuli-Venezia Giulia,63.54775916161272
144,Lazio,100.0
165,Liguria,46.93375678037649
186,Lombardy,53.658606445820936
206,Marche,66.68909646113094
221,Molise,14.397905581265757
242,Piedmont,38.700572059896324
263,Apulia,50.20518275963298
284,Sardinia,47.36869298738923
305,Sicily,31.71465727627776
326,Tuscany,65.09322257119298
347,Trentino-Alto Adige/South Tyrol,37.97865835282172
367,Umbria,74.07548062971581
404,Veneto,54.15350739550997
