,geoName,means
12,Abruzzo,57.980812968811776
32,Basilicata,65.0287762527574
52,Calabria,38.20532489637621
73,Campania,25.686468231744293
94,Emilia-Romagna,60.44738570972926
115,Friuli-Venezia Giulia,100.0
136,Lazio,44.78246154283206
157,Liguria,77.92297655918475
178,Lombardy,59.38999572896516
199,Marche,53.52485929563652
217,Molise,58.35201559562766
234,Piedmont,51.81638739721925
255,Apulia,49.5307219546404
276,Sardinia,43.22171343034872
297,Sicily,31.366281844596966
318,Tuscany,53.0327037496625
339,Trentino-Alto Adige/South Tyrol,56.98014494716568
360,Umbria,43.38757887264269
378,Aosta,48.04347748943403
396,Veneto,57.51344996692609
