,geoName,means
10,Abruzzo,91.6309942749094
30,Basilicata,47.24180677151933
50,Calabria,39.763804508177216
71,Campania,48.69744143607315
92,Emilia-Romagna,76.9153603174875
113,Friuli-Venezia Giulia,56.04674008582803
134,Lazio,76.4255827289912
155,Liguria,74.54496288836671
176,Lombardy,91.1168229852607
197,Marche,64.05765128006206
216,Molise,100.0
232,Piedmont,62.95416579661725
253,Apulia,42.667665629699606
274,Sardinia,76.89973054867397
295,Sicily,46.523116162394714
316,Tuscany,71.33165270260251
337,Trentino-Alto Adige/South Tyrol,60.449365291803545
358,Umbria,48.0708382073753
377,Aosta,50.9685913108896
394,Veneto,61.43305236081683
