,geoName,means
4,Abruzzo,62.298440044119964
25,Basilicata,66.54528550399009
44,Calabria,81.74679970178137
65,Campania,28.02726155450449
86,Emilia-Romagna,16.111463168170996
107,Friuli-Venezia Giulia,29.076831601261567
128,Lazio,27.99128708945837
149,Liguria,30.128492036850545
170,Lombardy,25.891161511427384
191,Marche,28.75533359193173
211,Molise,30.184501845018453
226,Piedmont,30.318438087283354
247,Apulia,43.30016124566347
268,Sardinia,55.70832140706891
289,Sicily,49.48404968445049
310,Tuscany,18.650181656409874
331,Trentino-Alto Adige/South Tyrol,35.663300482621565
352,Umbria,25.882601108405083
372,Aosta,100.0
388,Veneto,29.643988390992842
