,geoName,means
16,Abruzzo,10.592566573874677
35,Basilicata,100.0
56,Calabria,40.94795450579781
77,Campania,31.24483259468921
98,Emilia-Romagna,18.553206560168725
119,Friuli-Venezia Giulia,16.68347034796546
140,Lazio,29.31754570620122
161,Liguria,16.5483616799075
182,Lombardy,23.67436920778367
202,Marche,23.468410589604343
219,Molise,39.68942189421894
238,Piedmont,13.475673418250157
259,Apulia,32.40922466352862
280,Sardinia,20.701239673500005
301,Sicily,22.60990512493518
322,Tuscany,27.513624230740714
343,Trentino-Alto Adige/South Tyrol,13.08654743074989
363,Umbria,34.03287820967649
381,Aosta,30.343708858378783
400,Veneto,11.942411428888661
