date,means
2018-01-01,33.07692307692307
2018-02-01,26.153846153846157
2018-03-01,34.61538461538461
2018-04-01,40.76923076923077
2018-05-01,33.84615384615385
2018-06-01,29.230769230769234
2018-07-01,33.07692307692307
2018-08-01,30.0
2018-09-01,40.0
2018-10-01,25.384615384615383
2018-11-01,27.692307692307693
2018-12-01,13.846153846153847
2019-01-01,45.38461538461539
2019-02-01,42.30769230769231
2019-03-01,53.84615384615385
2019-04-01,40.0
2019-05-01,61.53846153846154
2019-06-01,66.15384615384615
2019-07-01,87.6923076923077
2019-08-01,63.84615384615384
2019-09-01,77.6923076923077
2019-10-01,92.3076923076923
2019-11-01,94.61538461538461
2019-12-01,43.07692307692308
2020-01-01,100.0
2020-02-01,84.61538461538461
2020-03-01,50.76923076923077
2020-04-01,34.61538461538461
2020-05-01,11.538461538461538
2020-06-01,10.0
