date,means
2018-01-01,43.41317365269461
2018-02-01,41.01796407185629
2018-03-01,34.4311377245509
2018-04-01,29.041916167664674
2018-05-01,39.52095808383233
2018-06-01,25.149700598802394
2018-07-01,22.45508982035928
2018-08-01,24.251497005988025
2018-09-01,56.58682634730538
2018-10-01,48.20359281437126
2018-11-01,50.59880239520959
2018-12-01,24.550898203592812
2019-01-01,64.67065868263472
2019-02-01,48.50299401197605
2019-03-01,47.30538922155689
2019-04-01,33.83233532934132
2019-05-01,55.98802395209581
2019-06-01,27.844311377245507
2019-07-01,30.538922155688624
2019-08-01,24.251497005988025
2019-09-01,38.32335329341318
2019-10-01,31.137724550898206
2019-11-01,33.532934131736525
2019-12-01,18.263473053892216
2020-01-01,66.1676646706587
2020-02-01,68.8622754491018
2020-03-01,31.137724550898206
2020-04-01,27.54491017964072
2020-05-01,100.0
2020-06-01,67.36526946107784
2020-07-01,13.47305389221557
