date,means
2018-01-01,97.5
2018-02-01,82.5
2018-03-01,72.5
2018-04-01,78.75
2018-05-01,62.5
2018-06-01,70.0
2018-07-01,46.25
2018-08-01,31.25
2018-09-01,65.0
2018-10-01,53.75
2018-11-01,45.0
2018-12-01,25.0
2019-01-01,70.0
2019-02-01,91.25
2019-03-01,96.25
2019-04-01,81.25
2019-05-01,100.0
2019-06-01,78.75
2019-07-01,82.5
2019-08-01,41.25
2019-09-01,88.75
2019-10-01,98.75
2019-11-01,45.0
2019-12-01,16.25
2020-01-01,67.5
2020-02-01,40.0
2020-03-01,13.750000000000002
2020-04-01,12.5
2020-05-01,16.25
2020-06-01,2.5
