date,means
2018-01-01,26.354184002938695
2018-02-01,30.53738781292896
2018-03-01,22.589300573947448
2018-04-01,20.497698668952317
2018-05-01,20.497698668952317
2018-06-01,17.987776382958156
2018-07-01,19.661057906954262
2018-08-01,23.84426171694453
2018-09-01,35.55723238491728
2018-10-01,42.66867886190074
2018-11-01,38.06715467091144
2018-12-01,20.497698668952317
2019-01-01,54.79996991087252
2019-02-01,29.282426669931876
2019-03-01,28.864106288932856
2019-04-01,34.3022712419202
2019-05-01,30.955708193927986
2019-06-01,16.314494858962046
2019-07-01,16.732815239961074
2019-08-01,17.569456001959125
2019-09-01,26.354184002938695
2019-10-01,22.170980192948424
2019-11-01,23.84426171694453
2019-12-01,13.804572572967887
2020-01-01,43.08699924289977
2020-02-01,50.198445719883225
2020-03-01,23.425941335945502
2020-04-01,15.896174477963019
2020-05-01,67.76790172184235
2020-06-01,39.322115813908525
2020-07-01,12.549611429970806
