,geoName,means
17,Abruzzo,17.454304322706022
36,Basilicata,20.59735027504455
57,Calabria,21.085484050062657
78,Campania,15.841495661241666
99,Emilia-Romagna,87.81247782652206
120,Friuli-Venezia Giulia,58.417998035261874
141,Lazio,82.81560111294924
162,Liguria,37.18389839991048
183,Lombardy,88.98226772318148
203,Marche,32.225804887509696
239,Piedmont,41.6344748381708
260,Apulia,12.99004837369904
281,Sardinia,13.119713374853184
302,Sicily,16.144410032185583
323,Tuscany,52.2356713872618
344,Trentino-Alto Adige/South Tyrol,53.90964026442795
364,Umbria,50.980880971100916
382,Aosta,100.0
401,Veneto,55.75592710135675
