,geoName,means
15,Abruzzo,48.525485799565686
34,Basilicata,50.52671231595792
55,Calabria,100.0
76,Campania,46.68630248579111
97,Emilia-Romagna,30.671551349394733
118,Friuli-Venezia Giulia,40.27479887583223
139,Lazio,37.79180868032162
160,Liguria,35.810196706875765
181,Lombardy,24.341163467099943
201,Marche,33.377557003112095
218,Molise,53.47669338762353
237,Piedmont,25.217832372878778
258,Apulia,59.40354767917386
279,Sardinia,92.97471836147818
300,Sicily,64.6516138672866
321,Tuscany,30.89273280613345
342,Trentino-Alto Adige/South Tyrol,41.14259129509747
362,Umbria,52.8029405819843
380,Aosta,54.512634598630726
399,Veneto,35.75767624451944
