,geoName,means
3,Abruzzo,62.20079358637055
24,Basilicata,33.704754995527445
43,Calabria,31.436539856457053
64,Campania,26.462498434119603
85,Emilia-Romagna,48.37077903171383
106,Friuli-Venezia Giulia,48.733730981287984
127,Lazio,37.3012418236011
148,Liguria,33.803543999918624
169,Lombardy,44.60837005094934
190,Marche,29.882109986599897
210,Molise,65.39975399753997
225,Piedmont,56.18551351898605
246,Apulia,22.56856889167914
267,Sardinia,48.18512912218805
288,Sicily,34.546779509432085
309,Tuscany,43.365463038481494
330,Trentino-Alto Adige/South Tyrol,42.147536934007306
351,Umbria,42.63855499401168
371,Aosta,100.0
387,Veneto,56.50132719629467
