date,means
2018-01-01,3.4032878209676496
2018-02-01,4.537717094623533
2018-03-01,3.4032878209676496
2018-05-01,1.1344292736558832
2018-06-01,2.2688585473117664
2018-07-01,2.2688585473117664
2018-11-01,2.2688585473117664
2018-12-01,1.1344292736558832
2019-01-01,1.1344292736558832
2019-02-01,3.4032878209676496
2019-03-01,5.6721463682794155
2019-05-01,4.537717094623533
2019-06-01,2.2688585473117664
2019-07-01,2.2688585473117664
2019-08-01,2.2688585473117664
2019-09-01,4.537717094623533
2019-10-01,1.1344292736558832
2019-11-01,2.2688585473117664
2019-12-01,2.2688585473117664
2020-01-01,5.6721463682794155
2020-02-01,7.941004915591182
2020-03-01,4.537717094623533
2020-04-01,7.941004915591182
2020-05-01,79.41004915591182
2020-06-01,14.747580557526483
2020-07-01,2.2688585473117664
