date,means
2018-01-01,10.309278350515463
2018-02-01,11.855670103092782
2018-03-01,24.742268041237114
2018-04-01,43.29896907216495
2018-05-01,41.23711340206185
2018-06-01,34.5360824742268
2018-07-01,22.164948453608247
2018-08-01,19.587628865979383
2018-09-01,29.381443298969074
2018-10-01,24.22680412371134
2018-11-01,17.010309278350515
2018-12-01,4.639175257731959
2019-01-01,9.278350515463918
2019-02-01,22.68041237113402
2019-03-01,49.48453608247423
2019-04-01,50.0
2019-05-01,50.51546391752577
2019-06-01,56.70103092783505
2019-07-01,34.02061855670103
2019-08-01,40.20618556701031
2019-09-01,36.597938144329895
2019-10-01,27.835051546391753
2019-11-01,14.432989690721648
2019-12-01,11.855670103092782
2020-01-01,22.68041237113402
2020-02-01,38.144329896907216
2020-03-01,19.072164948453608
2020-04-01,42.78350515463917
2020-05-01,100.0
2020-06-01,32.98969072164948
