date,means
2018-01-01,4.011461318051576
2018-02-01,3.7249283667621778
2018-03-01,5.157593123209169
2018-04-01,3.151862464183381
2018-05-01,6.017191977077363
2018-06-01,4.871060171919771
2018-07-01,8.30945558739255
2018-08-01,7.736389684813753
2018-09-01,5.444126074498568
2018-10-01,2.5787965616045847
2018-11-01,1.7191977077363898
2018-12-01,1.146131805157593
2019-01-01,6.303724928366762
2019-02-01,2.5787965616045847
2019-03-01,15.18624641833811
2019-04-01,12.607449856733524
2019-05-01,10.601719197707736
2019-06-01,16.045845272206304
2019-07-01,21.48997134670487
2019-08-01,12.893982808022923
2019-09-01,17.191977077363894
2019-10-01,7.4498567335243555
2019-11-01,10.028653295128938
2019-12-01,2.5787965616045847
2020-01-01,8.595988538681947
2020-02-01,20.630372492836678
2020-03-01,27.507163323782237
2020-04-01,43.553008595988544
2020-05-01,100.0
2020-06-01,47.277936962750715
