date,means
2018-02-01,2.5832426062549017
2018-03-01,2.5832426062549017
2018-05-01,5.166485212509803
2018-06-01,7.749727818764704
2018-07-01,5.166485212509803
2018-08-01,5.166485212509803
2018-09-01,7.749727818764704
2018-10-01,5.166485212509803
2018-11-01,5.166485212509803
2018-12-01,5.166485212509803
2019-01-01,2.5832426062549017
2019-02-01,7.749727818764704
2019-03-01,7.749727818764704
2019-04-01,2.5832426062549017
2019-05-01,2.5832426062549017
2019-06-01,23.249183456294116
2019-07-01,23.249183456294116
2019-08-01,12.916213031274507
2019-09-01,15.499455637529408
2019-10-01,18.08269824378431
2019-11-01,18.08269824378431
2019-12-01,43.915124306333325
2020-01-01,25.832426062549015
2020-02-01,56.831337337607835
2020-03-01,12.916213031274507
2020-04-01,2.5832426062549017
2020-05-01,5.166485212509803
2020-06-01,18.08269824378431
2020-07-01,2.5832426062549017
