geoName,geoCode,Laminat verlegen
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,60
Berlin,DE-BE,75
Brandenburg,DE-BB,61
Bremen,DE-HB,97
Hamburg,DE-HH,70
Hesse,DE-HE,61
Lower Saxony,DE-NI,80
Mecklenburg-Vorpommern,DE-MV,37
North Rhine-Westphalia,DE-NW,95
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,93
Saxony,DE-SN,57
Saxony-Anhalt,DE-ST,82
Schleswig-Holstein,DE-SH,63
Thuringia,DE-TH,86
