geoName,geoCode,Peintre en bâtiment
Brittany,FR-E,76.92307692307693
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,53.846153846153854
Provence-Alpes-Côte d'Azur,FR-U,23.07692307692308
Île-de-France,FR-J,23.07692307692308
Grand-est,FR-GE,8.547008547008549
Hauts-de-france,FR-HF,6.41025641025641
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,51.28205128205128
Auvergne-Rhône-Alpes,FR-AR,14.1025641025641
Grand-est,FR-GE,
Hauts-de-france,FR-HF,
Normandie,FR-NO,
Bourgogne-Franche-Comté,FR-BFC,
Nouvelle-Aquitaine,FR-NA,
Occitanie,FR-OC,
Auvergne-Rhône-Alpes,FR-AR,
