geoName,geoCode,Natursteinpflaster
Baden-Württemberg,DE-BW,15
Bavaria,DE-BY,12
Berlin,DE-BE,11
Brandenburg,DE-BB,61
Bremen,DE-HB,0
Hamburg,DE-HH,18
Hesse,DE-HE,32
Lower Saxony,DE-NI,26
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,25
Rhineland-Palatinate,DE-RP,32
Saarland,DE-SL,0
Saxony,DE-SN,52
Saxony-Anhalt,DE-ST,25
Schleswig-Holstein,DE-SH,37
Thuringia,DE-TH,37
