geoName,geoCode,Wärmedämmung
Burgenland,AT-1,0
Carinthia,AT-2,80
Lower Austria,AT-3,100
Salzburg,AT-5,46
Styria,AT-6,25
Tyrol,AT-7,61
Upper Austria,AT-4,63
Vienna,AT-9,48
Vorarlberg,AT-8,0
