date,altes Haus,isPartial
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,100,False
2018-01-28,30,False
2018-02-04,62,False
2018-02-11,30,False
2018-02-18,40,False
2018-02-25,60,False
2018-03-04,50,False
2018-03-11,50,False
2018-03-18,71,False
2018-03-25,65,False
2018-04-01,45,False
2018-04-08,43,False
2018-04-15,44,False
2018-04-22,32,False
2018-04-29,56,False
2018-05-06,44,False
2018-05-13,52,False
2018-05-20,22,False
2018-05-27,55,False
2018-06-03,63,False
2018-06-10,41,False
2018-06-17,62,False
2018-06-24,61,False
2018-07-01,63,False
2018-07-08,31,False
2018-07-15,43,False
2018-07-22,66,False
2018-07-29,22,False
2018-08-05,32,False
2018-08-12,34,False
2018-08-19,43,False
2018-08-26,41,False
2018-09-02,21,False
2018-09-09,84,False
2018-09-16,43,False
2018-09-23,63,False
2018-09-30,62,False
2018-10-07,63,False
2018-10-14,42,False
2018-10-21,64,False
2018-10-28,32,False
2018-11-04,41,False
2018-11-11,42,False
2018-11-18,90,False
2018-11-25,51,False
2018-12-02,31,False
2018-12-09,20,False
2018-12-16,21,False
2018-12-23,71,False
2018-12-30,62,False
2019-01-06,38,False
2019-01-13,19,False
2019-01-20,38,False
2019-01-27,29,False
2019-02-03,29,False
2019-02-10,58,False
2019-02-17,38,False
2019-02-24,38,False
2019-03-03,38,False
2019-03-10,28,False
2019-03-17,30,False
2019-03-24,59,False
2019-03-31,20,False
2019-04-07,40,False
2019-04-14,0,False
2019-04-21,42,False
2019-04-28,20,False
2019-05-05,19,False
2019-05-12,39,False
2019-05-19,39,False
2019-05-26,58,False
2019-06-02,70,False
2019-06-09,82,False
2019-06-16,60,False
2019-06-23,51,False
2019-06-30,21,False
2019-07-07,30,False
2019-07-14,21,False
2019-07-21,43,False
2019-07-28,72,False
2019-08-04,75,False
2019-08-11,41,False
2019-08-18,40,False
2019-08-25,49,False
2019-09-01,67,False
2019-09-08,69,False
2019-09-15,39,False
2019-09-22,58,False
2019-09-29,18,False
2019-10-06,76,False
2019-10-13,57,False
2019-10-20,28,False
2019-10-27,66,False
2019-11-03,27,False
2019-11-10,36,False
2019-11-17,28,False
2019-11-24,36,False
2019-12-01,84,False
2019-12-08,18,False
2019-12-15,38,False
2019-12-22,63,False
2019-12-29,67,False
2020-01-05,18,False
2020-01-12,42,False
2020-01-19,34,False
2020-01-26,42,False
2020-02-02,42,False
2020-02-09,68,False
2020-02-16,76,False
2020-02-23,32,False
2020-03-01,33,False
2020-03-08,40,False
2020-03-15,16,False
2020-03-22,39,False
2020-03-29,24,False
2020-04-05,70,False
2020-04-12,59,False
2020-04-19,65,False
2020-04-26,33,False
2020-05-03,50,False
2020-05-10,50,False
2020-05-17,80,False
2020-05-24,66,False
2020-05-31,42,False
2020-06-07,76,False
2020-06-14,33,False
2020-06-21,51,False
2020-06-28,93,False
2020-07-05,53,False
