geoName,geoCode,altes Haus
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,90
Salzburg,AT-5,0
Styria,AT-6,69
Tyrol,AT-7,100
Upper Austria,AT-4,97
Vienna,AT-9,71
Vorarlberg,AT-8,0
