date,Pvc kleben,isPartial
2018-01-07,34,False
2018-01-14,22,False
2018-01-21,45,False
2018-01-28,50,False
2018-02-04,51,False
2018-02-11,68,False
2018-02-18,26,False
2018-02-25,34,False
2018-03-04,57,False
2018-03-11,68,False
2018-03-18,46,False
2018-03-25,54,False
2018-04-01,100,False
2018-04-08,79,False
2018-04-15,81,False
2018-04-22,51,False
2018-04-29,77,False
2018-05-06,42,False
2018-05-13,57,False
2018-05-20,55,False
2018-05-27,64,False
2018-06-03,46,False
2018-06-10,55,False
2018-06-17,73,False
2018-06-24,81,False
2018-07-01,80,False
2018-07-08,74,False
2018-07-15,65,False
2018-07-22,77,False
2018-07-29,53,False
2018-08-05,61,False
2018-08-12,77,False
2018-08-19,77,False
2018-08-26,53,False
2018-09-02,75,False
2018-09-09,40,False
2018-09-16,52,False
2018-09-23,52,False
2018-09-30,86,False
2018-10-07,63,False
2018-10-14,69,False
2018-10-21,62,False
2018-10-28,42,False
2018-11-04,33,False
2018-11-11,50,False
2018-11-18,16,False
2018-11-25,50,False
2018-12-02,58,False
2018-12-09,39,False
2018-12-16,34,False
2018-12-23,72,False
2018-12-30,53,False
2019-01-06,32,False
2019-01-13,62,False
2019-01-20,36,False
2019-01-27,42,False
2019-02-03,58,False
2019-02-10,48,False
2019-02-17,49,False
2019-02-24,25,False
2019-03-03,32,False
2019-03-10,42,False
2019-03-17,50,False
2019-03-24,44,False
2019-03-31,50,False
2019-04-07,73,False
2019-04-14,65,False
2019-04-21,52,False
2019-04-28,59,False
2019-05-05,63,False
2019-05-12,65,False
2019-05-19,48,False
2019-05-26,72,False
2019-06-02,48,False
2019-06-09,88,False
2019-06-16,56,False
2019-06-23,55,False
2019-06-30,71,False
2019-07-07,97,False
2019-07-14,62,False
2019-07-21,65,False
2019-07-28,34,False
2019-08-04,40,False
2019-08-11,25,False
2019-08-18,45,False
2019-08-25,66,False
2019-09-01,48,False
2019-09-08,60,False
2019-09-15,54,False
2019-09-22,42,False
2019-09-29,74,False
2019-10-06,52,False
2019-10-13,54,False
2019-10-20,67,False
2019-10-27,36,False
2019-11-03,22,False
2019-11-10,83,False
2019-11-17,45,False
2019-11-24,44,False
2019-12-01,15,False
2019-12-08,25,False
2019-12-15,39,False
2019-12-22,29,False
2019-12-29,44,False
2020-01-05,58,False
2020-01-12,42,False
2020-01-19,43,False
2020-01-26,29,False
2020-02-02,62,False
2020-02-09,61,False
2020-02-16,29,False
2020-02-23,42,False
2020-03-01,56,False
2020-03-08,75,False
2020-03-15,47,False
2020-03-22,70,False
2020-03-29,51,False
2020-04-05,76,False
2020-04-12,86,False
2020-04-19,96,False
2020-04-26,55,False
2020-05-03,87,False
2020-05-10,61,False
