geoName,geoCode,Spenglerei
Burgenland,AT-1,55
Carinthia,AT-2,63
Lower Austria,AT-3,44
Salzburg,AT-5,22
Styria,AT-6,42
Tyrol,AT-7,100
Upper Austria,AT-4,33
Vienna,AT-9,26
Vorarlberg,AT-8,95
