geoName,geoCode,Spenglerei
Baden-Württemberg,DE-BW,15
Bavaria,DE-BY,100
Berlin,DE-BE,0
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,15
Hesse,DE-HE,17
Lower Saxony,DE-NI,4
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,6
Rhineland-Palatinate,DE-RP,13
Saarland,DE-SL,0
Saxony,DE-SN,7
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,12
Thuringia,DE-TH,0
