geoName,geoCode,Hochzeitsdekoration
Baden-Württemberg,DE-BW,6
Bavaria,DE-BY,11
Berlin,DE-BE,0
Brandenburg,DE-BB,35
Bremen,DE-HB,100
Hamburg,DE-HH,16
Hesse,DE-HE,11
Lower Saxony,DE-NI,14
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,21
Rhineland-Palatinate,DE-RP,18
Saarland,DE-SL,0
Saxony,DE-SN,19
Saxony-Anhalt,DE-ST,21
Schleswig-Holstein,DE-SH,13
Thuringia,DE-TH,21
