geoName,geoCode,abito uomo
Abruzzo,IT-65,47
Aosta,IT-23,0
Apulia,IT-75,56
Basilicata,IT-77,100
Calabria,IT-78,56
Campania,IT-72,50
Emilia-Romagna,IT-45,40
Friuli-Venezia Giulia,IT-36,45
Lazio,IT-62,41
Liguria,IT-42,40
Lombardy,IT-25,53
Marche,IT-57,40
Molise,IT-67,48
Piedmont,IT-21,36
Sardinia,IT-88,87
Sicily,IT-82,75
Trentino-Alto Adige/South Tyrol,IT-32,26
Tuscany,IT-52,51
Umbria,IT-55,42
Veneto,IT-34,39
