date,Yoga
2018-01-07,0.4075
2018-01-14,0.5425
2018-01-21,0.4925
2018-01-28,0.465
2018-02-04,0.435
2018-02-11,0.3525
2018-02-18,0.415
2018-02-25,0.41
2018-03-04,0.385
2018-03-11,0.3125
2018-03-18,0.3275
2018-03-25,0.2875
2018-04-01,0.27
2018-04-08,0.2725
2018-04-15,0.2525
2018-04-22,0.275
2018-04-29,0.5475
2018-05-06,0.305
2018-05-13,0.37
2018-05-20,0.3475
2018-05-27,0.335
2018-06-03,0.3925
2018-06-10,0.295
2018-06-17,0.265
2018-06-24,0.3275
2018-07-01,0.3475
2018-07-08,0.31
2018-07-15,0.3325
2018-07-22,0.395
2018-07-29,0.41
2018-08-05,0.3425
2018-08-12,0.4225
2018-08-19,0.4925
2018-08-26,0.5725
2018-09-02,0.65
2018-09-09,0.7025
2018-09-16,0.6025
2018-09-23,0.53
2018-09-30,0.3775
2018-10-07,0.3975
2018-10-14,0.405
2018-10-21,0.43
2018-10-28,0.3275
2018-11-04,0.3175
2018-11-11,0.455
2018-11-18,0.425
2018-11-25,0.4725
2018-12-02,0.3725
2018-12-09,0.4425
2018-12-16,0.3475
2018-12-23,0.385
2018-12-30,0.3625
2019-01-06,0.47
2019-01-13,0.5125
2019-01-20,0.465
2019-01-27,0.415
2019-02-03,0.365
2019-02-10,0.3575
2019-02-17,0.3775
2019-02-24,0.425
2019-03-03,0.4575
2019-03-10,0.37
2019-03-17,0.3975
2019-03-24,0.4075
2019-03-31,0.4175
2019-04-07,0.355
2019-04-14,0.335
2019-04-21,0.37
2019-04-28,0.33
2019-05-05,0.3975
2019-05-12,0.425
2019-05-19,0.315
2019-05-26,0.3925
2019-06-02,0.42
2019-06-09,0.3925
2019-06-16,0.35
2019-06-23,0.325
2019-06-30,0.4075
2019-07-07,0.4775
2019-07-14,0.395
2019-07-21,0.37
2019-07-28,0.315
2019-08-04,0.475
2019-08-11,0.4775
2019-08-18,0.435
2019-08-25,0.585
2019-09-01,0.73
2019-09-08,0.6175
2019-09-15,0.5075
2019-09-22,0.6725
2019-09-29,0.5075
2019-10-06,0.3825
2019-10-13,0.4425
2019-10-20,0.5625
2019-10-27,0.395
2019-11-03,0.52
2019-11-10,0.45
2019-11-17,0.445
2019-11-24,0.44
2019-12-01,0.4775
2019-12-08,0.48
2019-12-15,0.4025
2019-12-22,0.435
2019-12-29,0.3925
2020-01-05,0.4075
2020-01-12,0.4425
2020-01-19,0.415
2020-01-26,0.375
2020-02-02,0.4725
2020-02-09,0.5675
2020-02-16,0.355
2020-02-23,0.38
2020-03-01,0.3825
2020-03-08,0.415
2020-03-15,0.595
2020-03-22,1.0
2020-03-29,0.845
2020-04-05,0.72
2020-04-12,0.775
2020-04-19,0.6325
2020-04-26,0.5875
2020-05-03,0.52
2020-05-10,0.45
2020-05-17,0.3575
2020-05-24,0.345
2020-05-31,0.3425
2020-06-07,0.4425
2020-06-14,0.4125
2020-06-21,0.4825
