date,Yoga
2018-01-07,0.44
2018-01-14,0.49
2018-01-21,0.49
2018-01-28,0.49
2018-02-04,0.535
2018-02-11,0.375
2018-02-18,0.46
2018-02-25,0.36
2018-03-04,0.39
2018-03-11,0.285
2018-03-18,0.36
2018-03-25,0.355
2018-04-01,0.305
2018-04-08,0.36
2018-04-15,0.34
2018-04-22,0.36
2018-04-29,0.33
2018-05-06,0.465
2018-05-13,0.275
2018-05-20,0.33
2018-05-27,0.215
2018-06-03,0.31
2018-06-10,0.34
2018-06-17,0.41
2018-06-24,0.285
2018-07-01,0.37
2018-07-08,0.32
2018-07-15,0.435
2018-07-22,0.445
2018-07-29,0.355
2018-08-05,0.37
2018-08-12,0.445
2018-08-19,0.48
2018-08-26,0.555
2018-09-02,0.655
2018-09-09,0.68
2018-09-16,0.53
2018-09-23,0.5
2018-09-30,0.46
2018-10-07,0.39
2018-10-14,0.45
2018-10-21,0.37
2018-10-28,0.37
2018-11-04,0.425
2018-11-11,0.33
2018-11-18,0.515
2018-11-25,0.36
2018-12-02,0.38
2018-12-09,0.415
2018-12-16,0.385
2018-12-23,0.335
2018-12-30,0.345
2019-01-06,0.41
2019-01-13,0.385
2019-01-20,0.33
2019-01-27,0.325
2019-02-03,0.305
2019-02-10,0.47
2019-02-17,0.265
2019-02-24,0.37
2019-03-03,0.39
2019-03-10,0.425
2019-03-17,0.36
2019-03-24,0.315
2019-03-31,0.305
2019-04-07,0.325
2019-04-14,0.415
2019-04-21,0.435
2019-04-28,0.375
2019-05-05,0.365
2019-05-12,0.47
2019-05-19,0.35
2019-05-26,0.435
2019-06-02,0.295
2019-06-09,0.275
2019-06-16,0.45
2019-06-23,0.32
2019-06-30,0.26
2019-07-07,0.44
2019-07-14,0.29
2019-07-21,0.425
2019-07-28,0.45
2019-08-04,0.465
2019-08-11,0.455
2019-08-18,0.47
2019-08-25,0.585
2019-09-01,0.825
2019-09-08,0.72
2019-09-15,0.74
2019-09-22,0.54
2019-09-29,0.465
2019-10-06,0.47
2019-10-13,0.4
2019-10-20,0.395
2019-10-27,0.38
2019-11-03,0.425
2019-11-10,0.52
2019-11-17,0.54
2019-11-24,0.365
2019-12-01,0.43
2019-12-08,0.35
2019-12-15,0.465
2019-12-22,0.38
2019-12-29,0.36
2020-01-05,0.29
2020-01-12,0.47
2020-01-19,0.51
2020-01-26,0.415
2020-02-02,0.41
2020-02-09,0.335
2020-02-16,0.41
2020-02-23,0.38
2020-03-01,0.475
2020-03-08,0.43
2020-03-15,0.645
2020-03-22,1.0
2020-03-29,0.885
2020-04-05,0.72
2020-04-12,0.725
2020-04-19,0.65
2020-04-26,0.71
2020-05-03,0.59
2020-05-10,0.55
2020-05-17,0.39
2020-05-24,0.455
2020-05-31,0.35
2020-06-07,0.46
2020-06-14,0.4
2020-06-21,0.865
