geoName,geoCode,Yoga
Brittany,FR-E,80.41237113402062
Centre-Val de Loire,FR-F,65.97938144329896
Corsica,FR-H,87.62886597938144
Pays de la Loire,FR-R,81.44329896907216
Provence-Alpes-Côte d'Azur,FR-U,95.87628865979381
Île-de-France,FR-J,100.0
Grand-est,FR-GE,64.26116838487972
Hauts-de-france,FR-HF,52.57731958762887
Normandie,FR-NO,64.94845360824742
Bourgogne-Franche-Comté,FR-BFC,61.855670103092784
Nouvelle-Aquitaine,FR-NA,87.62886597938144
Occitanie,FR-OC,88.65979381443299
Auvergne-Rhône-Alpes,FR-AR,87.11340206185567
