geoName,geoCode,Video de boda
Andalusia,ES-AN,58
Aragon,ES-AR,0
Asturias,ES-AS,58
Balearic Islands,ES-IB,0
Basque Country,ES-PV,38
Canary Islands,ES-CN,33
Cantabria,ES-CB,0
Castile and León,ES-CL,76
Castile-La Mancha,ES-CM,100
Catalonia,ES-CT,51
Ceuta,ES-CE,0
Community of Madrid,ES-MD,42
Extremadura,ES-EX,69
Galicia,ES-GA,51
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,0
Region of Murcia,ES-MC,70
Valencian Community,ES-VC,31
