geoName,geoCode,moustiquaire lit
Brittany,FR-E,31.413612565445025
Centre-Val de Loire,FR-F,48.167539267015705
Corsica,FR-H,0.0
Pays de la Loire,FR-R,28.272251308900525
Provence-Alpes-Côte d'Azur,FR-U,75.39267015706807
Île-de-France,FR-J,42.93193717277487
Grand-est,FR-GE,46.42233856893543
Hauts-de-france,FR-HF,32.460732984293195
Normandie,FR-NO,15.18324607329843
Bourgogne-Franche-Comté,FR-BFC,39.26701570680628
Nouvelle-Aquitaine,FR-NA,45.724258289703315
Occitanie,FR-OC,100.0
Auvergne-Rhône-Alpes,FR-AR,43.455497382198956
