geoName,geoCode,sarto
Abruzzo,IT-65,52
Aosta,IT-23,0
Apulia,IT-75,36
Basilicata,IT-77,99
Calabria,IT-78,44
Campania,IT-72,35
Emilia-Romagna,IT-45,72
Friuli-Venezia Giulia,IT-36,63
Lazio,IT-62,63
Liguria,IT-42,65
Lombardy,IT-25,69
Marche,IT-57,97
Molise,IT-67,100
Piedmont,IT-21,62
Sardinia,IT-88,16
Sicily,IT-82,38
Trentino-Alto Adige/South Tyrol,IT-32,36
Tuscany,IT-52,78
Umbria,IT-55,96
Veneto,IT-34,75
