geoName,geoCode,Sarto
Abruzzo,IT-65,48
Aosta,IT-23,0
Apulia,IT-75,15
Basilicata,IT-77,74
Calabria,IT-78,33
Campania,IT-72,24
Emilia-Romagna,IT-45,46
Friuli-Venezia Giulia,IT-36,28
Lazio,IT-62,41
Liguria,IT-42,48
Lombardy,IT-25,47
Marche,IT-57,95
Molise,IT-67,100
Piedmont,IT-21,52
Sardinia,IT-88,31
Sicily,IT-82,29
Trentino-Alto Adige/South Tyrol,IT-32,11
Tuscany,IT-52,59
Umbria,IT-55,36
Veneto,IT-34,56
