geoName,geoCode,Wechselrichter
Burgenland,AT-1,81
Carinthia,AT-2,80
Lower Austria,AT-3,100
Salzburg,AT-5,44
Styria,AT-6,91
Tyrol,AT-7,46
Upper Austria,AT-4,73
Vienna,AT-9,28
Vorarlberg,AT-8,56
