date,Cura giardino,Installazione barbecue,Installazione pannelli solari,Installazione piscina,Installazione tende da sole
2018-01-01,7.8125,0.0,6.25,0.0,3.125
2018-02-01,6.25,0.0,0.0,0.0,0.0
2018-03-01,4.6875,0.0,0.0,0.0,3.125
2018-04-01,7.8125,0.0,1.5625,0.0,25.0
2018-05-01,10.9375,0.0,0.0,3.125,18.75
2018-06-01,7.8125,0.0,4.6875,0.0,14.0625
2018-07-01,3.125,0.0,4.6875,0.0,18.75
2018-08-01,7.8125,0.0,0.0,3.125,12.5
2018-09-01,7.8125,0.0,6.25,0.0,1.5625
2018-10-01,4.6875,0.0,4.6875,0.0,1.5625
2018-11-01,3.125,0.0,1.5625,0.0,3.125
2018-12-01,1.5625,0.0,1.5625,0.0,1.5625
2019-01-01,4.6875,0.0,4.6875,3.125,6.25
2019-02-01,7.8125,0.0,1.5625,1.5625,9.375
2019-03-01,29.6875,0.0,1.5625,4.6875,31.25
2019-04-01,10.9375,0.0,4.6875,1.5625,23.4375
2019-05-01,15.625,0.0,4.6875,1.5625,20.3125
2019-06-01,28.125,0.0,4.6875,4.6875,46.875
2019-07-01,20.3125,0.0,7.8125,9.375,25.0
2019-08-01,12.5,1.5625,1.5625,3.125,17.1875
2019-09-01,4.6875,0.0,6.25,3.125,15.625
2019-10-01,14.0625,0.0,4.6875,0.0,4.6875
2019-11-01,7.8125,0.0,6.25,1.5625,3.125
2019-12-01,4.6875,0.0,3.125,0.0,6.25
2020-01-01,7.8125,0.0,3.125,1.5625,6.25
2020-02-01,14.0625,0.0,3.125,3.125,9.375
2020-03-01,10.9375,0.0,0.0,9.375,12.5
2020-04-01,15.625,0.0,4.6875,20.3125,42.1875
2020-05-01,40.625,1.5625,60.9375,20.3125,100.0
2020-06-01,12.5,1.5625,12.5,4.6875,51.5625
