geoName,geoCode,Dachabdichtung
Baden-Württemberg,DE-BW,54
Bavaria,DE-BY,35
Berlin,DE-BE,34
Brandenburg,DE-BB,70
Bremen,DE-HB,0
Hamburg,DE-HH,32
Hesse,DE-HE,46
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,32
Rhineland-Palatinate,DE-RP,43
Saarland,DE-SL,0
Saxony,DE-SN,26
Saxony-Anhalt,DE-ST,87
Schleswig-Holstein,DE-SH,43
Thuringia,DE-TH,100
