geoName,geoCode,Hochzeit günstig,Hochzeit Kosten,Hochzeit Geld,Hochzeit Preis
Baden-Württemberg,DE-BW,4,63,23,10
Bavaria,DE-BY,10,60,20,10
Berlin,DE-BE,6,61,33,0
Brandenburg,DE-BB,0,72,28,0
Bremen,DE-HB,0,100,0,0
Hamburg,DE-HH,0,73,27,0
Hesse,DE-HE,7,46,33,14
Lower Saxony,DE-NI,13,61,22,4
Mecklenburg-Vorpommern,DE-MV,0,50,50,0
North Rhine-Westphalia,DE-NW,12,61,19,8
Rhineland-Palatinate,DE-RP,19,58,23,0
Saarland,DE-SL,0,0,0,0
Saxony,DE-SN,21,65,14,0
Saxony-Anhalt,DE-ST,0,67,33,0
Schleswig-Holstein,DE-SH,0,62,38,0
Thuringia,DE-TH,0,57,43,0
