date,mariage cher,mariage luxe,mariage pas cher ,isPartial
2018-01-07,71,5,71,False
2018-01-14,66,10,61,False
2018-01-21,86,5,81,False
2018-01-28,66,15,61,False
2018-02-04,56,10,56,False
2018-02-11,72,10,72,False
2018-02-18,49,16,49,False
2018-02-25,87,11,86,False
2018-03-04,67,15,62,False
2018-03-11,67,26,62,False
2018-03-18,95,10,89,False
2018-03-25,84,16,79,False
2018-04-01,86,0,81,False
2018-04-08,31,0,31,False
2018-04-15,67,6,67,False
2018-04-22,88,5,88,False
2018-04-29,97,16,81,False
2018-05-06,73,6,62,False
2018-05-13,46,5,36,False
2018-05-20,89,11,84,False
2018-05-27,56,5,51,False
2018-06-03,71,10,71,False
2018-06-10,69,0,69,False
2018-06-17,50,10,50,False
2018-06-24,61,10,61,False
2018-07-01,100,20,90,False
2018-07-08,79,21,74,False
2018-07-15,23,11,23,False
2018-07-22,52,0,35,False
2018-07-29,49,0,49,False
2018-08-05,58,6,58,False
2018-08-12,93,20,87,False
2018-08-19,43,19,43,False
2018-08-26,27,0,22,False
2018-09-02,73,37,63,False
2018-09-09,56,5,56,False
2018-09-16,30,5,30,False
2018-09-23,46,5,46,False
2018-09-30,25,5,20,False
2018-10-07,36,5,36,False
2018-10-14,44,15,39,False
2018-10-21,25,5,25,False
2018-10-28,33,5,33,False
2018-11-04,45,15,40,False
2018-11-11,58,0,49,False
2018-11-18,50,10,45,False
2018-11-25,36,0,36,False
2018-12-02,72,0,72,False
2018-12-09,31,10,31,False
2018-12-16,47,5,47,False
2018-12-23,33,7,33,False
2018-12-30,41,12,35,False
2019-01-06,20,15,20,False
2019-01-13,52,10,46,False
2019-01-20,45,5,45,False
2019-01-27,45,0,45,False
2019-02-03,38,14,38,False
2019-02-10,40,10,35,False
2019-02-17,25,10,25,False
2019-02-24,31,16,26,False
2019-03-03,51,15,45,False
2019-03-10,57,10,46,False
2019-03-17,52,5,47,False
2019-03-24,48,0,48,False
2019-03-31,52,10,52,False
2019-04-07,58,0,58,False
2019-04-14,38,11,38,False
2019-04-21,58,6,58,False
2019-04-28,63,11,63,False
2019-05-05,39,6,34,False
2019-05-12,32,5,27,False
2019-05-19,59,5,48,False
2019-05-26,56,6,50,False
2019-06-02,59,10,59,False
2019-06-09,64,0,53,False
2019-06-16,21,16,21,False
2019-06-23,48,11,43,False
2019-06-30,48,11,43,False
2019-07-07,55,11,50,False
2019-07-14,53,6,47,False
2019-07-21,55,0,55,False
2019-07-28,39,13,39,False
2019-08-04,55,7,48,False
2019-08-11,36,7,22,False
2019-08-18,61,20,47,False
2019-08-25,24,12,24,False
2019-09-01,53,16,48,False
2019-09-08,26,26,26,False
2019-09-15,31,5,26,False
2019-09-22,56,10,51,False
2019-09-29,55,10,50,False
2019-10-06,5,0,5,False
2019-10-13,26,16,26,False
2019-10-20,31,5,31,False
2019-10-27,54,11,49,False
2019-11-03,35,0,30,False
2019-11-10,42,16,42,False
2019-11-17,41,10,35,False
2019-11-24,20,5,20,False
2019-12-01,39,0,34,False
2019-12-08,20,0,20,False
2019-12-15,26,5,21,False
2019-12-22,31,0,31,False
2019-12-29,29,0,29,False
2020-01-05,59,15,54,False
2020-01-12,44,5,44,False
2020-01-19,35,10,30,False
2020-01-26,30,15,25,False
2020-02-02,55,0,55,False
2020-02-09,51,5,51,False
2020-02-16,41,5,36,False
2020-02-23,38,0,38,False
2020-03-01,14,10,14,False
2020-03-08,38,0,38,False
2020-03-15,0,5,0,False
2020-03-22,15,5,15,False
2020-03-29,5,5,5,False
2020-04-05,15,0,15,False
2020-04-12,10,16,10,False
2020-04-19,24,5,24,False
2020-04-26,5,0,5,False
2020-05-03,37,0,37,True
