date,Hochzeit Kosten,Hochzeit günstig,isPartial
2018-01-07,35,30,False
2018-01-14,39,29,False
2018-01-21,35,20,False
2018-01-28,49,20,False
2018-02-04,26,31,False
2018-02-11,35,30,False
2018-02-18,50,25,False
2018-02-25,54,35,False
2018-03-04,35,30,False
2018-03-11,40,20,False
2018-03-18,25,30,False
2018-03-25,43,37,False
2018-04-01,48,11,False
2018-04-08,35,40,False
2018-04-15,41,0,False
2018-04-22,29,29,False
2018-04-29,46,10,False
2018-05-06,31,10,False
2018-05-13,84,0,False
2018-05-20,100,11,False
2018-05-27,35,10,False
2018-06-03,20,10,False
2018-06-10,58,19,False
2018-06-17,49,24,False
2018-06-24,35,20,False
2018-07-01,39,20,False
2018-07-08,92,19,False
2018-07-15,36,10,False
2018-07-22,63,42,False
2018-07-29,85,16,False
2018-08-05,53,0,False
2018-08-12,42,21,False
2018-08-19,46,10,False
2018-08-26,71,10,False
2018-09-02,51,0,False
2018-09-09,46,10,False
2018-09-16,51,30,False
2018-09-23,36,10,False
2018-09-30,61,10,False
2018-10-07,40,30,False
2018-10-14,51,21,False
2018-10-21,36,0,False
2018-10-28,40,20,False
2018-11-04,38,10,False
2018-11-11,25,10,False
2018-11-18,24,29,False
2018-11-25,19,15,False
2018-12-02,34,10,False
2018-12-09,19,0,False
2018-12-16,25,15,False
2018-12-23,40,11,False
2018-12-30,52,20,False
2019-01-06,51,28,False
2019-01-13,64,18,False
2019-01-20,55,27,False
2019-01-27,37,18,False
2019-02-03,55,9,False
2019-02-10,38,14,False
2019-02-17,24,19,False
2019-02-24,24,39,False
2019-03-03,33,9,False
2019-03-10,41,18,False
2019-03-17,43,34,False
2019-03-24,29,14,False
2019-03-31,28,14,False
2019-04-07,43,10,False
2019-04-14,26,10,False
2019-04-21,30,20,False
2019-04-28,53,19,False
2019-05-05,32,9,False
2019-05-12,24,24,False
2019-05-19,47,9,False
2019-05-26,34,19,False
2019-06-02,28,9,False
2019-06-09,53,10,False
2019-06-16,48,15,False
2019-06-23,43,14,False
2019-06-30,62,0,False
2019-07-07,47,9,False
2019-07-14,50,10,False
2019-07-21,48,11,False
2019-07-28,68,10,False
2019-08-04,53,21,False
2019-08-11,45,10,False
2019-08-18,55,15,False
2019-08-25,57,29,False
2019-09-01,57,19,False
2019-09-08,38,0,False
2019-09-15,43,29,False
2019-09-22,19,0,False
2019-09-29,38,9,False
2019-10-06,37,0,False
2019-10-13,47,0,False
2019-10-20,38,9,False
2019-10-27,27,14,False
2019-11-03,31,9,False
2019-11-10,22,9,False
2019-11-17,48,9,False
2019-11-24,9,0,False
2019-12-01,26,0,False
2019-12-08,31,35,False
2019-12-15,40,9,False
2019-12-22,31,10,False
2019-12-29,29,10,False
2020-01-05,51,17,False
2020-01-12,24,8,False
2020-01-19,59,8,False
2020-01-26,42,8,False
2020-02-02,37,12,False
2020-02-09,16,24,False
2020-02-16,17,8,False
2020-02-23,36,8,False
2020-03-01,28,12,False
2020-03-08,23,0,False
2020-03-15,23,8,False
2020-03-22,19,8,False
2020-03-29,19,11,False
2020-04-05,25,8,False
2020-04-12,16,23,False
2020-04-19,46,8,False
2020-04-26,30,8,False
2020-05-03,23,0,False
2020-05-10,38,8,False
2020-05-17,44,8,False
2020-05-24,16,12,False
2020-05-31,35,15,False
2020-06-07,49,9,True
