geoName,geoCode,Hochzeit Kosten,Hochzeit günstig
Baden-Württemberg,DE-BW,83,17
Bavaria,DE-BY,89,11
Berlin,DE-BE,92,8
Brandenburg,DE-BB,100,0
Bremen,DE-HB,100,0
Hamburg,DE-HH,100,0
Hesse,DE-HE,80,20
Lower Saxony,DE-NI,90,10
Mecklenburg-Vorpommern,DE-MV,100,0
North Rhine-Westphalia,DE-NW,90,10
Rhineland-Palatinate,DE-RP,100,0
Saarland,DE-SL,100,0
Saxony,DE-SN,89,11
Saxony-Anhalt,DE-ST,100,0
Schleswig-Holstein,DE-SH,80,20
Thuringia,DE-TH,100,0
