geoName,geoCode,mariage cher,mariage luxe,mariage pas cher 
Alsace,FR-A,52,0,48
Aquitaine,FR-B,49,4,47
Auvergne,FR-C,54,0,46
Brittany,FR-E,52,0,48
Burgundy,FR-D,53,0,47
Centre-Val de Loire,FR-F,58,0,42
Champagne-Ardenne,FR-G,56,0,44
Corsica,FR-H,0,0,0
Franche-Comté,FR-I,50,0,50
Languedoc-Roussillon,FR-K,42,23,35
Limousin,FR-L,45,22,33
Lorraine,FR-M,50,0,50
Lower Normandy,FR-P,50,0,50
Midi-Pyrénées,FR-N,50,0,50
Nord-Pas-de-Calais,FR-O,47,11,42
Pays de la Loire,FR-R,52,0,48
Picardy,FR-S,50,0,50
Poitou-Charentes,FR-T,57,0,43
Provence-Alpes-Côte d'Azur,FR-U,44,17,39
Rhone-Alpes,FR-V,47,7,46
Upper Normandy,FR-Q,56,0,44
Île-de-France,FR-J,47,11,42
