date,mariage cher,mariage luxe,mariage pas cher ,isPartial
2018-01-07,43,0,43,False
2018-01-14,64,21,53,False
2018-01-21,54,0,54,False
2018-01-28,54,0,54,False
2018-02-04,44,0,44,False
2018-02-11,68,0,68,False
2018-02-18,34,0,34,False
2018-02-25,22,0,22,False
2018-03-04,43,0,43,False
2018-03-11,44,0,44,False
2018-03-18,22,0,22,False
2018-03-25,44,22,44,False
2018-04-01,69,23,69,False
2018-04-08,68,0,56,False
2018-04-15,24,24,24,False
2018-04-22,22,22,22,False
2018-04-29,31,0,31,False
2018-05-06,21,0,21,False
2018-05-13,22,0,22,False
2018-05-20,33,0,33,False
2018-05-27,32,0,32,False
2018-06-03,42,0,42,False
2018-06-10,60,0,60,False
2018-06-17,87,0,87,False
2018-06-24,43,0,43,False
2018-07-01,41,0,41,False
2018-07-08,63,0,63,False
2018-07-15,63,0,63,False
2018-07-22,31,21,31,False
2018-07-29,52,21,52,False
2018-08-05,29,20,29,False
2018-08-12,40,20,40,False
2018-08-19,42,0,31,False
2018-08-26,42,0,31,False
2018-09-02,43,0,21,False
2018-09-09,32,21,32,False
2018-09-16,21,0,21,False
2018-09-23,44,0,33,False
2018-09-30,44,0,44,False
2018-10-07,23,0,23,False
2018-10-14,67,0,67,False
2018-10-21,45,0,45,False
2018-10-28,22,0,22,False
2018-11-04,64,0,64,False
2018-11-11,66,22,55,False
2018-11-18,43,0,43,False
2018-11-25,21,0,21,False
2018-12-02,44,22,44,False
2018-12-09,22,0,22,False
2018-12-16,0,0,0,False
2018-12-23,25,25,25,False
2018-12-30,24,24,24,False
2019-01-06,33,0,33,False
2019-01-13,32,0,32,False
2019-01-20,83,0,41,False
2019-01-27,62,21,62,False
2019-02-03,21,0,21,False
2019-02-10,58,0,58,False
2019-02-17,46,46,70,False
2019-02-24,48,0,48,False
2019-03-03,44,0,44,False
2019-03-10,54,0,54,False
2019-03-17,34,0,45,False
2019-03-24,0,0,0,False
2019-03-31,38,38,38,False
2019-04-07,19,19,19,False
2019-04-14,20,0,20,False
2019-04-21,48,0,48,False
2019-04-28,18,0,0,False
2019-05-05,64,37,64,False
2019-05-12,37,0,37,False
2019-05-19,36,18,27,False
2019-05-26,56,0,56,False
2019-06-02,25,17,25,False
2019-06-09,18,0,18,False
2019-06-16,18,0,18,False
2019-06-23,18,0,18,False
2019-06-30,17,35,17,False
2019-07-07,51,17,34,False
2019-07-14,26,17,17,False
2019-07-21,18,19,18,False
2019-07-28,29,0,29,False
2019-08-04,45,0,45,False
2019-08-11,36,0,36,False
2019-08-18,38,0,38,False
2019-08-25,45,0,45,False
2019-09-01,18,18,18,False
2019-09-08,61,17,61,False
2019-09-15,17,17,17,False
2019-09-22,25,0,25,False
2019-09-29,16,0,16,False
2019-10-06,0,35,0,False
2019-10-13,35,0,35,False
2019-10-20,0,18,0,False
2019-10-27,43,0,43,False
2019-11-03,33,0,33,False
2019-11-10,42,0,42,False
2019-11-17,18,0,18,False
2019-11-24,17,17,17,False
2019-12-01,27,0,18,False
2019-12-08,35,0,35,False
2019-12-15,18,0,18,False
2019-12-22,0,0,0,False
2019-12-29,90,18,90,False
2020-01-05,34,0,34,False
2020-01-12,32,0,32,False
2020-01-19,42,0,33,False
2020-01-26,33,0,33,False
2020-02-02,34,0,17,False
2020-02-09,100,0,83,False
2020-02-16,17,0,17,False
2020-02-23,33,17,33,False
2020-03-01,16,0,16,False
2020-03-08,16,0,16,False
2020-03-15,30,0,30,False
2020-03-22,45,0,45,False
2020-03-29,15,0,15,False
2020-04-05,22,0,22,False
2020-04-12,0,15,0,False
2020-04-19,15,0,15,False
2020-04-26,42,14,42,False
2020-05-03,0,0,0,True
