geoName,geoCode,Aire acondicionado
Andalusia,ES-AN,81
Aragon,ES-AR,81
Asturias,ES-AS,16
Balearic Islands,ES-IB,66
Basque Country,ES-PV,30
Canary Islands,ES-CN,29
Cantabria,ES-CB,18
Castile and León,ES-CL,32
Castile-La Mancha,ES-CM,69
Catalonia,ES-CT,68
Ceuta,ES-CE,62
Community of Madrid,ES-MD,63
Extremadura,ES-EX,61
Galicia,ES-GA,24
La Rioja,ES-RI,47
Melilla,ES-ML,82
Navarre,ES-NC,41
Region of Murcia,ES-MC,100
Valencian Community,ES-VC,76
