geoName,geoCode,aperitivo
Abruzzo,IT-65,58
Aosta,IT-23,70
Apulia,IT-75,40
Basilicata,IT-77,18
Calabria,IT-78,42
Campania,IT-72,40
Emilia-Romagna,IT-45,75
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,81
Liguria,IT-42,84
Lombardy,IT-25,100
Marche,IT-57,78
Molise,IT-67,41
Piedmont,IT-21,70
Sardinia,IT-88,46
Sicily,IT-82,51
Trentino-Alto Adige/South Tyrol,IT-32,53
Tuscany,IT-52,78
Umbria,IT-55,54
Veneto,IT-34,59
