geoName,geoCode,Heizkörper entlüften
Baden-Württemberg,DE-BW,29
Bavaria,DE-BY,33
Berlin,DE-BE,11
Brandenburg,DE-BB,27
Bremen,DE-HB,0
Hamburg,DE-HH,25
Hesse,DE-HE,24
Lower Saxony,DE-NI,37
Mecklenburg-Vorpommern,DE-MV,45
North Rhine-Westphalia,DE-NW,19
Rhineland-Palatinate,DE-RP,28
Saarland,DE-SL,60
Saxony,DE-SN,39
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,30
Thuringia,DE-TH,0
