date,Badrenovierung,isPartial
2018-01-07,81,False
2018-01-14,46,False
2018-01-21,100,False
2018-01-28,80,False
2018-02-04,34,False
2018-02-11,75,False
2018-02-18,20,False
2018-02-25,74,False
2018-03-04,61,False
2018-03-11,61,False
2018-03-18,54,False
2018-03-25,79,False
2018-04-01,51,False
2018-04-08,28,False
2018-04-15,57,False
2018-04-22,34,False
2018-04-29,42,False
2018-05-06,36,False
2018-05-13,68,False
2018-05-20,29,False
2018-05-27,63,False
2018-06-03,41,False
2018-06-10,79,False
2018-06-17,47,False
2018-06-24,28,False
2018-07-01,41,False
2018-07-08,54,False
2018-07-15,21,False
2018-07-22,71,False
2018-07-29,70,False
2018-08-05,28,False
2018-08-12,43,False
2018-08-19,71,False
2018-08-26,63,False
2018-09-02,35,False
2018-09-09,55,False
2018-09-16,20,False
2018-09-23,28,False
2018-09-30,55,False
2018-10-07,48,False
2018-10-14,54,False
2018-10-21,54,False
2018-10-28,60,False
2018-11-04,52,False
2018-11-11,53,False
2018-11-18,58,False
2018-11-25,66,False
2018-12-02,39,False
2018-12-09,40,False
2018-12-16,14,False
2018-12-23,31,False
2018-12-30,50,False
2019-01-06,31,False
2019-01-13,43,False
2019-01-20,68,False
2019-01-27,50,False
2019-02-03,57,False
2019-02-10,71,False
2019-02-17,45,False
2019-02-24,53,False
2019-03-03,51,False
2019-03-10,37,False
2019-03-17,86,False
2019-03-24,46,False
2019-03-31,39,False
2019-04-07,32,False
2019-04-14,50,False
2019-04-21,41,False
2019-04-28,38,False
2019-05-05,56,False
2019-05-12,45,False
2019-05-19,51,False
2019-05-26,39,False
2019-06-02,32,False
2019-06-09,66,False
2019-06-16,47,False
2019-06-23,46,False
2019-06-30,39,False
2019-07-07,51,False
2019-07-14,40,False
2019-07-21,35,False
2019-07-28,55,False
2019-08-04,41,False
2019-08-11,72,False
2019-08-18,80,False
2019-08-25,39,False
2019-09-01,51,False
2019-09-08,58,False
2019-09-15,91,False
2019-09-22,57,False
2019-09-29,44,False
2019-10-06,25,False
2019-10-13,49,False
2019-10-20,43,False
2019-10-27,54,False
2019-11-03,47,False
2019-11-10,54,False
2019-11-17,30,False
2019-11-24,35,False
2019-12-01,48,False
2019-12-08,37,False
2019-12-15,31,False
2019-12-22,70,False
2019-12-29,59,False
2020-01-05,23,False
2020-01-12,45,False
2020-01-19,64,False
2020-01-26,51,False
2020-02-02,62,False
2020-02-09,78,False
2020-02-16,81,False
2020-02-23,45,False
2020-03-01,56,False
2020-03-08,37,False
2020-03-15,21,False
2020-03-22,21,False
2020-03-29,56,False
2020-04-05,34,False
2020-04-12,32,False
2020-04-19,79,False
2020-04-26,36,False
2020-05-03,21,False
2020-05-10,57,False
