date,Streichputz,isPartial
2018-01-07,54,False
2018-01-14,56,False
2018-01-21,53,False
2018-01-28,54,False
2018-02-04,47,False
2018-02-11,35,False
2018-02-18,58,False
2018-02-25,55,False
2018-03-04,24,False
2018-03-11,46,False
2018-03-18,24,False
2018-03-25,50,False
2018-04-01,25,False
2018-04-08,24,False
2018-04-15,41,False
2018-04-22,32,False
2018-04-29,42,False
2018-05-06,50,False
2018-05-13,24,False
2018-05-20,43,False
2018-05-27,43,False
2018-06-03,37,False
2018-06-10,35,False
2018-06-17,24,False
2018-06-24,48,False
2018-07-01,23,False
2018-07-08,55,False
2018-07-15,24,False
2018-07-22,36,False
2018-07-29,50,False
2018-08-05,51,False
2018-08-12,65,False
2018-08-19,40,False
2018-08-26,65,False
2018-09-02,41,False
2018-09-09,81,False
2018-09-16,40,False
2018-09-23,49,False
2018-09-30,65,False
2018-10-07,36,False
2018-10-14,59,False
2018-10-21,69,False
2018-10-28,59,False
2018-11-04,60,False
2018-11-11,23,False
2018-11-18,36,False
2018-11-25,56,False
2018-12-02,68,False
2018-12-09,37,False
2018-12-16,54,False
2018-12-23,67,False
2018-12-30,81,False
2019-01-06,58,False
2019-01-13,64,False
2019-01-20,57,False
2019-01-27,64,False
2019-02-03,100,False
2019-02-10,65,False
2019-02-17,44,False
2019-02-24,53,False
2019-03-03,52,False
2019-03-10,32,False
2019-03-17,23,False
2019-03-24,44,False
2019-03-31,33,False
2019-04-07,29,False
2019-04-14,48,False
2019-04-21,47,False
2019-04-28,34,False
2019-05-05,43,False
2019-05-12,29,False
2019-05-19,22,False
2019-05-26,38,False
2019-06-02,45,False
2019-06-09,47,False
2019-06-16,58,False
2019-06-23,89,False
2019-06-30,33,False
2019-07-07,53,False
2019-07-14,22,False
2019-07-21,47,False
2019-07-28,23,False
2019-08-04,58,False
2019-08-11,47,False
2019-08-18,57,False
2019-08-25,50,False
2019-09-01,54,False
2019-09-08,23,False
2019-09-15,57,False
2019-09-22,58,False
2019-09-29,66,False
2019-10-06,57,False
2019-10-13,63,False
2019-10-20,42,False
2019-10-27,32,False
2019-11-03,61,False
2019-11-10,35,False
2019-11-17,20,False
2019-11-24,61,False
2019-12-01,63,False
2019-12-08,31,False
2019-12-15,35,False
2019-12-22,32,False
2019-12-29,35,False
2020-01-05,51,False
2020-01-12,51,False
2020-01-19,20,False
2020-01-26,84,False
2020-02-02,65,False
2020-02-09,58,False
2020-02-16,27,False
2020-02-23,91,False
2020-03-01,44,False
2020-03-08,66,False
2020-03-15,47,False
2020-03-22,23,False
2020-03-29,59,False
2020-04-05,38,False
2020-04-12,43,False
2020-04-19,41,False
2020-04-26,52,False
2020-05-03,61,False
2020-05-10,52,False
