geoName,geoCode,Blumen Hochzeit
Baden-Württemberg,DE-BW,58
Bavaria,DE-BY,52
Berlin,DE-BE,27
Brandenburg,DE-BB,80
Bremen,DE-HB,0
Hamburg,DE-HH,64
Hesse,DE-HE,29
Lower Saxony,DE-NI,64
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,59
Rhineland-Palatinate,DE-RP,54
Saarland,DE-SL,0
Saxony,DE-SN,31
Saxony-Anhalt,DE-ST,56
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,41
