geoName,geoCode,Glasmacher
Baden-Württemberg,DE-BW,27
Bavaria,DE-BY,40
Berlin,DE-BE,75
Brandenburg,DE-BB,51
Bremen,DE-HB,0
Hamburg,DE-HH,28
Hesse,DE-HE,56
Lower Saxony,DE-NI,68
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,56
Saarland,DE-SL,0
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,45
Thuringia,DE-TH,38
