,geoName,yoga pour enfants
3,Brittany,48.0
5,Centre-Val de Loire,55.0
7,Corsica,0.0
15,Pays de la Loire,100.0
18,Provence-Alpes-Côte d'Azur,65.0
21,Île-de-France,43.0
22,Grand-est,46.333333333333336
23,Hauts-de-france,57.5
24,Normandie,29.0
25,Bourgogne-Franche-Comté,34.5
26,Nouvelle-Aquitaine,51.333333333333336
27,Occitanie,63.0
28,Auvergne-Rhône-Alpes,28.5
