,geoName,apprendre a dessiner
3,Brittany,47.0
5,Centre-Val de Loire,33.0
7,Corsica,100.0
15,Pays de la Loire,54.0
18,Provence-Alpes-Côte d'Azur,63.0
21,Île-de-France,42.0
22,Grand-est,46.666666666666664
23,Hauts-de-france,42.5
24,Normandie,54.5
25,Bourgogne-Franche-Comté,44.0
26,Nouvelle-Aquitaine,52.666666666666664
27,Occitanie,40.5
28,Auvergne-Rhône-Alpes,57.5
