Year,ticket_geo_region_name,Type,sub_type,Percentage
2018.0,Abruzzo,Budget,Energy efficiency,0.8
2018.0,Abruzzo,Security,Impianto di allarme,0.46
2018.0,Abruzzo,Smart home,Motorizzazione tapparelle,0.61
2018.0,Abruzzo,Energy efficiency,Certificazione energetica,0.48
2018.0,Basilicata,Budget,Energy efficiency,0.84
2018.0,Basilicata,Security,Impianto di allarme,0.59
2018.0,Basilicata,Smart home,Cronotermostato e termostato,1.0
2018.0,Basilicata,Energy efficiency,Installazione o sostituzione finestre,0.35
2018.0,Calabria,Budget,Energy efficiency,0.88
2018.0,Calabria,Security,Impianto di allarme,0.44
2018.0,Calabria,Smart home,Automazione cancelli,0.57
2018.0,Calabria,Energy efficiency,Certificazione energetica,0.34
2018.0,Campania,Budget,Energy efficiency,0.85
2018.0,Campania,Security,Impianto di allarme,0.52
2018.0,Campania,Smart home,Motorizzazione tapparelle,0.49
2018.0,Campania,Energy efficiency,Certificazione energetica,0.45
2018.0,Emilia-Romagna,Budget,Energy efficiency,0.76
2018.0,Emilia-Romagna,Security,Impianto di allarme,0.4
2018.0,Emilia-Romagna,Smart home,Motorizzazione tapparelle,0.41
2018.0,Emilia-Romagna,Energy efficiency,Certificazione energetica,0.57
2018.0,Friuli Venezia Giulia,Budget,Energy efficiency,0.77
2018.0,Friuli Venezia Giulia,Security,Installazione o sostituzione porte blindate,0.37
2018.0,Friuli Venezia Giulia,Smart home,Cronotermostato e termostato,0.44
2018.0,Friuli Venezia Giulia,Energy efficiency,Certificazione energetica,0.59
2018.0,Italia,Security,Impianto di allarme,0.44
2018.0,Italia,Smart home,Motorizzazione tapparelle,0.45
2018.0,Italia,Energy efficiency,Certificazione energetica,0.48
2018.0,Lazio,Budget,Energy efficiency,0.84
2018.0,Lazio,Security,Impianto di allarme,0.47
2018.0,Lazio,Smart home,Motorizzazione tapparelle,0.52
2018.0,Lazio,Energy efficiency,Installazione o sostituzione finestre,0.43
2018.0,Liguria,Budget,Energy efficiency,0.85
2018.0,Liguria,Security,Installazione o sostituzione porte blindate,0.35
2018.0,Liguria,Smart home,Motorizzazione tapparelle,0.67
2018.0,Liguria,Energy efficiency,Certificazione energetica,0.56
2018.0,Lombardia,Budget,Energy efficiency,0.76
2018.0,Lombardia,Security,Impianto di allarme,0.44
2018.0,Lombardia,Smart home,Motorizzazione tapparelle,0.46
2018.0,Lombardia,Energy efficiency,Certificazione energetica,0.5
2018.0,Marche,Budget,Energy efficiency,0.81
2018.0,Marche,Security,Impianto di allarme,0.51
2018.0,Marche,Smart home,Automazione cancelli,0.53
2018.0,Marche,Energy efficiency,Installazione o sostituzione finestre,0.38
2018.0,Molise,Budget,Energy efficiency,0.9
2018.0,Molise,Security,Impianto di allarme,0.38
2018.0,Molise,Smart home,Automazione cancelli,0.5
2018.0,Molise,Energy efficiency,Installazione o sostituzione finestre,0.49
2018.0,Piemonte,Budget,Energy efficiency,0.78
2018.0,Piemonte,Security,Impianto di allarme,0.47
2018.0,Piemonte,Smart home,Motorizzazione tapparelle,0.47
2018.0,Piemonte,Energy efficiency,Certificazione energetica,0.52
2018.0,Puglia,Budget,Energy efficiency,0.85
2018.0,Puglia,Security,Impianto di allarme,0.46
