Year,ticket_geo_region_name,Prof_type,Distribution
2018,Marche,Rifacimento facciata,0.02
2018,Marche,Riparazione o manutenzione tetto,0.06
2018,Marche,Riqualificazione energetica,0.01
2018,Molise,Certificazione energetica,0.37
2018,Molise,Costruzione o sostituzione tetto,0.03
2018,Molise,Installazione o sostituzione finestre,0.49
2018,Molise,Installazione o sostituzione pannelli fotovoltaici,0.06
2018,Molise,Riparazione o manutenzione tetto,0.06
2018,Piemonte,Certificazione energetica,0.52
2018,Piemonte,Costruzione o sostituzione tetto,0.03
2018,Piemonte,Installazione o sostituzione doppi vetri,0.01
2018,Piemonte,Installazione o sostituzione finestre,0.33
2018,Piemonte,Installazione o sostituzione pannelli fotovoltaici,0.04
2018,Piemonte,Rifacimento facciata,0.01
2018,Piemonte,Riparazione o manutenzione tetto,0.05
2018,Piemonte,Riqualificazione energetica,0.01
2018,Sardegna,Certificazione energetica,0.45
2018,Sardegna,Costruzione o sostituzione tetto,0.09
2018,Sardegna,Installazione o sostituzione doppi vetri,0.01
2018,Sardegna,Installazione o sostituzione finestre,0.29
2018,Sardegna,Installazione o sostituzione pannelli fotovoltaici,0.07
2018,Sardegna,Rifacimento facciata,0.03
2018,Sardegna,Riparazione o manutenzione tetto,0.07
2018,Sardegna,Riqualificazione energetica,0.0
2018,Sicilia,Certificazione energetica,0.38
2018,Sicilia,Costruzione o sostituzione tetto,0.12
2018,Sicilia,Installazione o sostituzione doppi vetri,0.01
2018,Sicilia,Installazione o sostituzione finestre,0.27
2018,Sicilia,Installazione o sostituzione pannelli fotovoltaici,0.13
2018,Sicilia,Rifacimento facciata,0.05
2018,Sicilia,Riparazione o manutenzione tetto,0.05
2018,Sicilia,Riqualificazione energetica,0.0
2018,Trentino-Alto Adige,Certificazione energetica,0.6
2018,Trentino-Alto Adige,Costruzione o sostituzione tetto,0.02
2018,Trentino-Alto Adige,Installazione o sostituzione doppi vetri,0.01
2018,Trentino-Alto Adige,Installazione o sostituzione finestre,0.29
2018,Trentino-Alto Adige,Installazione o sostituzione pannelli fotovoltaici,0.05
2018,Trentino-Alto Adige,Rifacimento facciata,0.01
2018,Trentino-Alto Adige,Riparazione o manutenzione tetto,0.02
2018,Trentino-Alto Adige,Riqualificazione energetica,0.0
2018,Toscana,Certificazione energetica,0.34
2018,Toscana,Costruzione o sostituzione tetto,0.02
2018,Toscana,Installazione o sostituzione doppi vetri,0.02
2018,Toscana,Installazione o sostituzione finestre,0.47
2018,Toscana,Installazione o sostituzione pannelli fotovoltaici,0.06
2018,Toscana,Rifacimento facciata,0.01
2018,Toscana,Riparazione o manutenzione tetto,0.06
2018,Toscana,Riqualificazione energetica,0.01
2018,Umbria,Certificazione energetica,0.37
2018,Umbria,Costruzione o sostituzione tetto,0.05
2018,Umbria,Installazione o sostituzione doppi vetri,0.01
2018,Umbria,Installazione o sostituzione finestre,0.39
2018,Umbria,Installazione o sostituzione pannelli fotovoltaici,0.1
2018,Umbria,Rifacimento facciata,0.01
2018,Umbria,Riparazione o manutenzione tetto,0.07
2018,Umbria,Riqualificazione energetica,0.01
2018,Veneto,Certificazione energetica,0.49
2018,Veneto,Costruzione o sostituzione tetto,0.03
2018,Veneto,Installazione o sostituzione doppi vetri,0.01
2018,Veneto,Installazione o sostituzione finestre,0.35
2018,Veneto,Installazione o sostituzione pannelli fotovoltaici,0.06
2018,Veneto,Rifacimento facciata,0.01
2018,Veneto,Riparazione o manutenzione tetto,0.04
2018,Veneto,Riqualificazione energetica,0.01
2019,Abruzzo,Certificazione energetica,0.38
2019,Abruzzo,Costruzione o sostituzione tetto,0.14
2019,Abruzzo,Installazione o sostituzione doppi vetri,0.03
2019,Abruzzo,Installazione o sostituzione finestre,0.22
2019,Abruzzo,Installazione o sostituzione pannelli fotovoltaici,0.08
2019,Abruzzo,Rifacimento facciata,0.01
2019,Abruzzo,Riparazione o manutenzione tetto,0.13
2019,Abruzzo,Riqualificazione energetica,0.0
2019,Valle d'Aosta,Certificazione energetica,0.57
2019,Valle d'Aosta,Costruzione o sostituzione tetto,0.16
2019,Valle d'Aosta,Installazione o sostituzione doppi vetri,0.04
2019,Valle d'Aosta,Installazione o sostituzione finestre,0.16
2019,Valle d'Aosta,Installazione o sostituzione pannelli fotovoltaici,0.02
2019,Valle d'Aosta,Riparazione o manutenzione tetto,0.04
2019,Valle d'Aosta,Riqualificazione energetica,0.02
2019,Puglia,Certificazione energetica,0.34
2019,Puglia,Costruzione o sostituzione tetto,0.12
2019,Puglia,Installazione o sostituzione doppi vetri,0.0
2019,Puglia,Installazione o sostituzione finestre,0.31
2019,Puglia,Installazione o sostituzione pannelli fotovoltaici,0.13
2019,Puglia,Rifacimento facciata,0.04
2019,Puglia,Riparazione o manutenzione tetto,0.05
2019,Puglia,Riqualificazione energetica,0.01
2019,Basilicata,Certificazione energetica,0.31
2019,Basilicata,Costruzione o sostituzione tetto,0.15
2019,Basilicata,Installazione o sostituzione doppi vetri,0.01
2019,Basilicata,Installazione o sostituzione finestre,0.26
2019,Basilicata,Installazione o sostituzione pannelli fotovoltaici,0.19
2019,Basilicata,Rifacimento facciata,0.0
2019,Basilicata,Riparazione o manutenzione tetto,0.07
2019,Basilicata,Riqualificazione energetica,0.0
2019,Calabria,Certificazione energetica,0.3
2019,Calabria,Costruzione o sostituzione tetto,0.15
2019,Calabria,Installazione o sostituzione doppi vetri,0.01
2019,Calabria,Installazione o sostituzione finestre,0.34
2019,Calabria,Installazione o sostituzione pannelli fotovoltaici,0.14
2019,Calabria,Rifacimento facciata,0.02
2019,Calabria,Riparazione o manutenzione tetto,0.04
2019,Calabria,Riqualificazione energetica,0.0
2019,Campania,Certificazione energetica,0.43
2019,Campania,Costruzione o sostituzione tetto,0.08
2019,Campania,Installazione o sostituzione doppi vetri,0.01
2019,Campania,Installazione o sostituzione finestre,0.28
2019,Campania,Installazione o sostituzione pannelli fotovoltaici,0.1
2019,Campania,Rifacimento facciata,0.03
2019,Campania,Riparazione o manutenzione tetto,0.07
2019,Campania,Riqualificazione energetica,0.0
2019,Emilia-Romagna,Certificazione energetica,0.51
2019,Emilia-Romagna,Costruzione o sostituzione tetto,0.03
2019,Emilia-Romagna,Installazione o sostituzione doppi vetri,0.04
2019,Emilia-Romagna,Installazione o sostituzione finestre,0.27
2019,Emilia-Romagna,Installazione o sostituzione pannelli fotovoltaici,0.06
2019,Emilia-Romagna,Rifacimento facciata,0.01
2019,Emilia-Romagna,Riparazione o manutenzione tetto,0.07
2019,Emilia-Romagna,Riqualificazione energetica,0.01
2019,Friuli Venezia Giulia,Certificazione energetica,0.5
2019,Friuli Venezia Giulia,Costruzione o sostituzione tetto,0.06
2019,Friuli Venezia Giulia,Installazione o sostituzione doppi vetri,0.02
2019,Friuli Venezia Giulia,Installazione o sostituzione finestre,0.28
2019,Friuli Venezia Giulia,Installazione o sostituzione pannelli fotovoltaici,0.08
2019,Friuli Venezia Giulia,Rifacimento facciata,0.0
2019,Friuli Venezia Giulia,Riparazione o manutenzione tetto,0.06
2019,Friuli Venezia Giulia,Riqualificazione energetica,0.0
2019,Italia,Certificazione energetica,0.44
2019,Italia,Costruzione o sostituzione tetto,0.06
2019,Italia,Installazione o sostituzione doppi vetri,0.03
2019,Italia,Installazione o sostituzione finestre,0.29
2019,Italia,Installazione o sostituzione pannelli fotovoltaici,0.08
2019,Italia,Rifacimento facciata,0.02
2019,Italia,Riparazione o manutenzione tetto,0.07
2019,Italia,Riqualificazione energetica,0.01
2019,Lazio,Certificazione energetica,0.4
2019,Lazio,Costruzione o sostituzione tetto,0.06
2019,Lazio,Installazione o sostituzione doppi vetri,0.03
2019,Lazio,Installazione o sostituzione finestre,0.33
2019,Lazio,Installazione o sostituzione pannelli fotovoltaici,0.07
2019,Lazio,Rifacimento facciata,0.02
2019,Lazio,Riparazione o manutenzione tetto,0.08
2019,Lazio,Riqualificazione energetica,0.0
2019,Liguria,Certificazione energetica,0.47
2019,Liguria,Costruzione o sostituzione tetto,0.04
2019,Liguria,Installazione o sostituzione doppi vetri,0.02
2019,Liguria,Installazione o sostituzione finestre,0.34
2019,Liguria,Installazione o sostituzione pannelli fotovoltaici,0.08
2019,Liguria,Rifacimento facciata,0.01
2019,Liguria,Riparazione o manutenzione tetto,0.03
2019,Liguria,Riqualificazione energetica,0.01
2019,Lombardia,Certificazione energetica,0.49
2019,Lombardia,Costruzione o sostituzione tetto,0.05
2019,Lombardia,Installazione o sostituzione doppi vetri,0.03
2019,Lombardia,Installazione o sostituzione finestre,0.29
2019,Lombardia,Installazione o sostituzione pannelli fotovoltaici,0.05
2019,Lombardia,Rifacimento facciata,0.01
2019,Lombardia,Riparazione o manutenzione tetto,0.07
2019,Lombardia,Riqualificazione energetica,0.0
