Year,ticket_geo_region_name,Renovation,Distribution
2018,Abruzzo,Automazione cancelli,0.01
2018,Abruzzo,Certificato conformità impianto elettrico,0.04
2018,Abruzzo,Certificazione energetica,0.31
2018,Abruzzo,Costruzione o sostituzione tetto,0.04
2018,Abruzzo,Cronotermostato e termostato,0.0
2018,Abruzzo,Finestre blindate,0.0
2018,Abruzzo,Impianto di allarme,0.14
2018,Abruzzo,Installazione impianto di domotica,0.0
2018,Abruzzo,Installazione impianto wifi,0.0
2018,Abruzzo,Installazione o sostituzione doppi vetri,0.01
2018,Abruzzo,Installazione o sostituzione finestre,0.22
2018,Abruzzo,Installazione o sostituzione impianto di videosorveglianza,0.03
2018,Abruzzo,Installazione o sostituzione inferriate,0.0
2018,Abruzzo,Installazione o sostituzione pannelli fotovoltaici,0.02
2018,Abruzzo,Installazione o sostituzione porte blindate,0.09
2018,Abruzzo,Installazione o sostituzione serrature,0.02
2018,Abruzzo,Installazione o sostituzione vetro antisfondamento,0.0
2018,Abruzzo,Motorizzazione tapparelle,0.03
2018,Abruzzo,Rifacimento facciata,0.01
2018,Abruzzo,Riparazione o manutenzione tetto,0.02
2018,Valle d'Aosta,Certificato conformità impianto elettrico,0.02
2018,Valle d'Aosta,Certificazione energetica,0.44
2018,Valle d'Aosta,Costruzione o sostituzione tetto,0.06
2018,Valle d'Aosta,Cronotermostato e termostato,0.0
2018,Valle d'Aosta,Finestre blindate,0.0
2018,Valle d'Aosta,Impianto di allarme,0.09
2018,Valle d'Aosta,Installazione o sostituzione doppi vetri,0.0
2018,Valle d'Aosta,Installazione o sostituzione finestre,0.2
2018,Valle d'Aosta,Installazione o sostituzione impianto di videosorveglianza,0.02
2018,Valle d'Aosta,Installazione o sostituzione pannelli fotovoltaici,0.0
2018,Valle d'Aosta,Installazione o sostituzione porte blindate,0.06
2018,Valle d'Aosta,Installazione o sostituzione serrature,0.0
2018,Valle d'Aosta,Installazione o sostituzione vetro antisfondamento,0.0
2018,Valle d'Aosta,Motorizzazione tapparelle,0.0
2018,Valle d'Aosta,Riparazione o manutenzione tetto,0.11
2018,Puglia,Automazione cancelli,0.01
2018,Puglia,Certificato conformità impianto elettrico,0.02
2018,Puglia,Certificazione energetica,0.28
2018,Puglia,Costruzione o sostituzione tetto,0.07
2018,Puglia,Cronotermostato e termostato,0.0
2018,Puglia,Finestre blindate,0.01
2018,Puglia,Impianto di allarme,0.15
2018,Puglia,Installazione impianto di domotica,0.0
2018,Puglia,Installazione impianto wifi,0.0
2018,Puglia,Installazione o sostituzione doppi vetri,0.0
2018,Puglia,Installazione o sostituzione finestre,0.19
2018,Puglia,Installazione o sostituzione impianto di videosorveglianza,0.06
