geoName,geoCode,bomboniere solidali
Abruzzo,IT-65,85
Aosta,IT-23,0
Apulia,IT-75,41
Basilicata,IT-77,0
Calabria,IT-78,100
Campania,IT-72,47
Emilia-Romagna,IT-45,44
Friuli-Venezia Giulia,IT-36,97
Lazio,IT-62,66
Liguria,IT-42,78
Lombardy,IT-25,48
Marche,IT-57,66
Molise,IT-67,0
Piedmont,IT-21,39
Sardinia,IT-88,41
Sicily,IT-82,31
Trentino-Alto Adige/South Tyrol,IT-32,0
Tuscany,IT-52,56
Umbria,IT-55,50
Veneto,IT-34,36
