geoName,geoCode,torta mascarpone
Abruzzo,IT-65,60
Aosta,IT-23,54
Apulia,IT-75,73
Basilicata,IT-77,62
Calabria,IT-78,79
Campania,IT-72,47
Emilia-Romagna,IT-45,74
Friuli-Venezia Giulia,IT-36,68
Lazio,IT-62,48
Liguria,IT-42,53
Lombardy,IT-25,67
Marche,IT-57,56
Molise,IT-67,98
Piedmont,IT-21,65
Sardinia,IT-88,70
Sicily,IT-82,100
Trentino-Alto Adige/South Tyrol,IT-32,48
Tuscany,IT-52,60
Umbria,IT-55,42
Veneto,IT-34,69
