geoName,geoCode,marketing
Andalusia,ES-AN,56
Aragon,ES-AR,53
Asturias,ES-AS,49
Balearic Islands,ES-IB,67
Basque Country,ES-PV,46
Canary Islands,ES-CN,59
Cantabria,ES-CB,36
Castile and León,ES-CL,44
Castile-La Mancha,ES-CM,52
Catalonia,ES-CT,80
Ceuta,ES-CE,45
Community of Madrid,ES-MD,100
Extremadura,ES-EX,37
Galicia,ES-GA,41
La Rioja,ES-RI,46
Melilla,ES-ML,47
Navarre,ES-NC,54
Region of Murcia,ES-MC,80
Valencian Community,ES-VC,70
